#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig,Ratio_Integrated_to_Peak,CORNISH,Distance (kpc),Physical size
G043.9675+00.9939,43.96752,0.99386,287.04596,10.2675,0.1,0.1,31.88,2.86,41.33,3.75,1.708,0.027,,1.716,0.039,1.7,0.039,16.116,44.41,0.33,-0.004,94.8,G,0,0,0,0,0,0,0,0,0,1.2964242,G043.9675+00.9939,14.1,0.1167566
G044.3103+00.0410,44.31025,0.04098,288.06554,10.13155,0.14,0.14,4.37,0.54,5.47,0.94,1.678,0.115,,1.878,0.199,1.5,0.131,48.919,15.24,0.38,0.009,10.1,G,0,0,0,0,0,0,0,0,0,1.2517163,G044.3103+00.0410,8.0,0.06508133
G044.4228+00.5377,44.42279,0.53772,287.67082,10.46108,0.14,0.16,3.74,0.51,4.27,0.87,1.603,0.132,,1.712,0.212,1.5,0.165,154.475,32.937,0.38,0.019,8.5,G,0,0,0,0,0,0,0,0,0,1.1417112,G044.4228+00.5377,17.9,0.13911086
G045.0694+00.1323,45.06939,0.1323,288.34105,10.84656,0.1,0.1,26.99,2.49,46.17,4.44,1.962,0.044,1.3,2.066,0.067,1.863,0.058,9.799,9.34,0.55,0.118,46.0,G,0,1,0,1,1,0,1,0,0,1.7106335,G045.0694+00.1323,4.4,0.041852955
G045.0712+00.1321,45.07116,0.13206,288.34214,10.84795,0.24,0.24,105.64,9.41,146.67,14.65,1.891,0.007,1.2,,,,,,,0.58,-0.021,180.6,P,0,1,0,1,1,0,1,0,0,1.3883946,G045.0712+00.1321,4.4,0.0403384
G045.1223+00.1321,45.12233,0.13206,288.36652,10.89325,0.1,0.1,299.72,26.68,2984.27,274.33,7.458,0.004,7.3,,,,,,,0.77,0.047,386.6,P,0,1,0,1,1,0,1,1,1,9.95686,G045.1223+00.1321,4.4,0.15909243
G045.1242+00.1356,45.12424,0.1356,288.36433,10.89664,1.01,1.05,8.43,0.87,62.55,11.86,4.833,0.058,4.6,,,,,,,0.81,0.015,9.5,P,0,1,0,1,1,0,1,1,0,7.4199286,G045.1242+00.1356,4.4,0.10309651
G045.4545+00.0591,45.4545,0.05908,288.58879,11.15325,0.13,0.13,61.84,5.51,1029.45,98.24,7.613,0.009,7.5,,,,,,,0.89,-0.091,68.6,P,0,1,0,1,0,0,1,1,1,16.646992,G045.4545+00.0591,7.2,0.26574358
G045.4559+00.0613,45.45595,0.06133,288.58788,11.156,0.28,0.2,10.18,1.33,51.59,7.58,3.377,0.258,3.0,3.928,0.444,2.903,0.298,97.439,13.26,1.0,-0.006,9.6,G,0,1,0,1,0,0,1,1,1,5.06778,G045.4559+00.0613,7.2,0.11787943
G045.4656+00.0452,45.46557,0.04515,288.60704,11.15701,0.1,0.1,48.33,4.38,62.26,5.79,1.703,0.032,,1.856,0.05,1.562,0.04,172.498,3.686,0.87,-0.084,53.5,G,0,0,0,1,0,0,1,0,0,1.2882267,G045.4656+00.0452,6.0,0.04953821
G048.6099+00.0270,48.60992,0.02697,290.12766,13.92839,0.3,0.29,8.53,0.78,131.22,15.55,7.059,0.025,6.9,,,,,,,0.48,0.025,16.7,P,0,0,0,1,0,0,1,0,0,15.383353,G048.6099+00.0270,10.75,0.36789688
G048.9296-00.2793,48.92959,-0.27926,290.56244,14.06685,0.26,0.26,12.15,1.12,185.39,19.22,6.158,0.018,6.0,,,,,,,0.67,0.01,17.1,P,0,0,0,1,1,0,0,0,0,15.258436,G048.9296-00.2793,5.4,0.1612159
G048.9901-00.2988,48.9901,-0.29878,290.60881,14.11101,0.21,0.15,5.44,0.81,7.53,1.66,1.764,0.17,,2.073,0.318,1.5,0.176,71.67,14.238,0.61,-0.027,8.0,G,0,0,0,1,1,0,0,0,0,1.3841912,G048.9901-00.2988,5.4,0.046181373
G049.2679-00.3374,49.26792,-0.33743,290.77918,14.33773,0.4,0.45,5.97,0.78,102.61,14.03,6.216,0.497,6.0,6.545,0.744,5.905,0.664,3.996,43.483,0.83,-0.191,7.6,G,0,0,0,1,0,0,1,0,0,17.187605,G049.2679-00.3374,5.4,0.16273436
G049.3666-00.3010,49.36663,-0.30104,290.79419,14.44191,0.36,0.55,29.71,5.72,180.93,40.14,3.702,0.505,3.4,4.5,0.915,3.045,0.554,14.235,18.289,3.37,-0.675,9.6,G,0,1,0,1,0,0,1,0,0,6.0898685,G049.3666-00.3010,5.4,0.09691804
G049.4905-00.3688,49.49053,-0.36881,290.91637,14.51927,0.14,0.14,335.65,29.97,3821.72,365.24,5.758,0.008,5.6,,,,,,,5.04,-0.044,65.7,P,0,0,0,1,0,0,1,0,0,11.386027,G049.4905-00.3688,5.4,0.15074395
G050.3152+00.6762,50.31525,0.67623,290.36462,15.7392,0.23,0.21,46.28,4.12,81.31,8.07,2.107,0.007,1.5,,,,,,,0.26,-0.013,176.8,P,0,1,0,0,0,0,0,1,0,1.7569144,G050.3152+00.6762,1.9,0.01940853
G051.6785+00.7193,51.67854,0.71934,290.9951,16.96154,0.1,0.1,15.87,1.43,22.55,2.07,1.788,0.032,,1.984,0.051,1.612,0.039,2.741,2.641,0.23,0.0,66.0,G,0,0,0,0,0,0,0,0,0,1.4209199,G051.6785+00.7193,10.5,0.09101883
G052.7533+00.3340,52.75329,0.33397,291.88421,17.72412,0.11,0.11,16.62,1.48,386.03,36.54,8.66,0.007,8.5,,,,,,,0.24,-0.013,67.3,P,0,0,0,0,0,0,0,0,0,23.226833,G052.7533+00.3340,9.3,0.39045888
G053.9589+00.0320,53.95892,0.03201,292.77174,18.63803,0.35,0.35,21.48,1.92,46.0,4.73,2.315,0.011,1.8,,,,,,,0.28,-0.004,75.1,P,0,0,0,0,0,0,0,0,0,2.141527,G053.9589+00.0320,5.0,0.056117136
G058.7739+00.6457,58.77387,0.6457,294.70272,23.14448,0.47,0.4,1.44,0.27,4.76,1.18,2.724,0.398,2.3,3.955,0.947,1.876,0.314,128.499,8.252,0.24,0.006,8.3,G,0,0,0,0,0,0,0,0,0,3.3055556,G058.7739+00.6457,4.4,0.05810778
G059.6027+00.9118,59.60268,0.91183,294.89437,23.99699,0.1,0.1,53.77,4.79,68.76,6.14,1.696,0.025,,1.72,0.035,1.673,0.034,41.386,6.904,0.24,0.013,214.9,G,0,0,0,0,0,0,0,0,0,1.27878,G059.6027+00.9118,4.2,0.034534212
G060.8842-00.1286,60.88422,-0.12861,296.58393,24.59146,0.1,0.1,18.67,1.76,18.67,1.96,1.5,0.04,,1.5,0.057,1.5,0.057,1.146,90.0,0.49,-0.061,47.8,G,0,1,0,1,0,0,0,1,0,1.0,G060.8842-00.1286,2.16,0.01570795
G061.7207+00.8630,61.72069,0.86297,296.09849,25.81206,0.18,0.18,39.06,3.48,101.3,9.82,2.428,0.006,1.9,,,,,,,0.23,0.006,171.0,P,0,0,0,0,0,0,0,0,0,2.593446,G061.7207+00.8630,13.99,0.16467999
