#Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig,Ratio_Integrated_to_Peak,CORNISH,Distance (kpc),Physical size
G031.2435-00.1103,31.24347,-0.11034,282.18767,-1.55294,0.12,0.12,133.77,11.91,353.06,32.36,2.691,0.003,2.2,,,,,,,0.33,-0.01,409.9,P,0,1,0,0,0,0,0,1,0,2.639306,G031.2435-00.1103,13.0,0.16960222
G031.2448-00.1132,31.24476,-0.11324,282.19067,-1.5533,0.44,0.51,8.6,0.8,37.39,4.2,3.144,0.02,2.8,,,,,,,0.32,-0.002,25.6,P,0,1,0,0,0,0,0,0,0,4.3476744,G031.2448-00.1132,13.0,0.19815286
G031.2801+00.0632,31.28008,0.06322,282.04927,-1.44195,0.14,0.14,13.05,1.17,268.86,25.67,9.327,0.012,9.2,,,,,,,0.34,-0.012,37.5,P,0,0,0,0,0,0,0,0,0,20.602297,G031.2801+00.0632,7.1,0.32105154
G031.3959-00.2570,31.39586,-0.25697,282.38856,-1.48593,0.36,0.34,6.57,0.59,80.96,10.38,10.034,0.041,9.9,,,,,,,0.36,-0.016,17.2,P,0,0,0,0,0,0,0,0,0,12.322679,G031.3959-00.2570,9.1,0.4426801
G031.4130+00.3065,31.413,0.30647,281.89289,-1.21237,0.1,0.1,47.87,4.26,954.8,87.99,9.376,0.004,9.3,,,,,,,0.26,0.003,183.0,P,0,0,0,0,0,0,0,0,0,19.945686,G031.4130+00.3065,5.6,0.2545541
G031.5815+00.0744,31.58148,0.07443,282.17736,-1.16791,0.16,0.14,5.61,0.63,14.48,1.89,2.409,0.131,1.9,2.768,0.227,2.097,0.149,125.516,9.812,0.36,-0.007,14.8,G,0,0,0,0,0,0,0,0,0,2.581105,G031.5815+00.0744,7.2,0.084089875
G032.0297+00.0491,32.02967,0.04905,282.40438,-0.78062,0.4,0.23,3.3,0.44,26.68,3.82,4.267,0.339,4.0,5.518,0.653,3.3,0.349,90.188,7.832,0.39,-0.02,8.9,G,0,0,0,0,0,0,0,0,0,8.084848,G032.0297+00.0491,4.9,0.101366214
G032.1502+00.1329,32.15017,0.13287,282.38562,-0.63487,0.13,0.13,23.24,2.07,533.63,59.66,12.378,0.017,12.3,,,,,,,0.4,-0.004,56.5,P,0,0,0,0,0,0,0,0,0,22.961704,G032.1502+00.1329,7.2,0.43207327
G032.2730-00.2258,32.27298,-0.2258,282.75966,-0.69017,0.16,0.15,18.09,1.61,309.28,34.38,9.832,0.019,9.7,,,,,,,0.4,-0.022,43.9,P,0,0,0,0,0,0,0,0,0,17.096739,G032.2730-00.2258,12.8,0.6101355
G032.4727+00.2036,32.47274,0.20361,282.46894,-0.31585,0.25,0.24,49.71,4.43,97.38,9.67,2.263,0.008,1.7,,,,,,,0.37,0.009,132.7,P,0,0,0,0,0,0,0,0,0,1.958962,G032.4727+00.2036,11.1,0.12178169
G032.7398+00.1940,32.73977,0.19396,282.59924,-0.08257,0.16,0.16,3.04,0.45,3.39,0.78,1.585,0.149,,1.619,0.219,1.553,0.202,153.824,90.0,0.34,0.045,7.9,G,0,0,0,0,1,0,0,0,0,1.1151316,G032.7398+00.1940,12.9,0.09912734
G032.7492-00.0643,32.7492,-0.06427,282.83336,-0.19192,0.13,0.13,6.43,0.7,13.12,1.67,2.143,0.105,1.5,2.235,0.159,2.054,0.139,139.134,30.918,0.37,-0.01,16.4,G,0,0,0,0,0,0,0,0,0,2.0404356,G032.7492-00.0643,11.7,0.121557705
G032.7966+00.1909,32.79658,0.19091,282.62896,-0.03237,0.1,0.1,279.13,24.84,3123.37,281.38,10.013,0.002,9.9,,,,,,,0.39,-0.009,721.7,P,0,1,0,0,1,0,0,0,0,11.189661,G032.7966+00.1909,13.3,0.6456398
G032.7982+00.1937,32.79822,0.1937,282.62613,-0.03066,0.11,0.12,9.81,1.0,17.22,2.0,1.987,0.078,1.3,2.198,0.13,1.797,0.094,5.462,9.63,0.44,0.047,21.7,G,0,1,0,0,1,0,0,0,0,1.7553515,G032.7982+00.1937,13.3,0.12812208
G032.9273+00.6060,32.92726,0.60601,282.31789,0.27288,0.15,0.15,44.3,3.95,285.57,31.27,6.811,0.013,6.6,,,,,,,0.31,-0.008,141.2,P,0,0,0,0,0,0,0,0,0,6.4462757,G032.9273+00.6060,18.6,0.6141837
G033.1328-00.0923,33.13277,-0.09228,283.03355,0.13683,0.12,0.12,101.04,8.99,378.59,34.75,4.024,0.004,3.7,,,,,,,0.31,-0.023,327.6,P,0,0,0,0,0,0,0,0,0,3.7469318,G033.1328-00.0923,9.4,0.18338352
G033.4163-00.0036,33.41627,-0.00358,283.08464,0.43019,0.37,0.37,7.14,0.65,75.16,9.16,8.776,0.037,8.6,,,,,,,0.39,-0.012,17.3,P,0,0,0,0,0,0,0,0,0,10.526611,G033.4163-00.0036,9.4,0.39994377
G033.8100-00.1864,33.80997,-0.18643,283.42582,0.69644,0.23,0.23,57.46,5.12,107.63,10.51,2.189,0.007,1.6,,,,,,,0.38,-0.012,149.7,P,0,1,0,0,0,0,1,1,0,1.8731291,G033.8100-00.1864,11.1,0.11779942
G033.9145+00.1105,33.9145,0.11045,283.21011,0.92463,0.11,0.11,95.47,8.5,842.22,88.66,10.141,0.011,10.0,,,,,,,0.39,0.034,244.0,P,0,0,0,0,1,0,0,0,0,8.821829,G033.9145+00.1105,6.7,0.32940486
G034.0901+00.4365,34.09005,0.43652,282.99901,1.22972,1.97,2.07,3.95,0.46,9.62,1.9,2.405,0.062,1.9,,,,,,,0.39,-0.026,9.1,P,0,0,0,0,0,0,0,0,0,2.435443,G034.0901+00.4365,11.4,0.13292123
G034.1978-00.5912,34.19784,-0.59116,283.96296,0.85698,0.42,0.4,2.24,0.43,10.54,2.42,3.255,0.458,2.9,3.647,0.753,2.906,0.555,130.702,33.562,0.36,-0.017,7.2,G,0,0,0,0,0,0,0,0,0,4.705357,G034.1978-00.5912,10.3,0.16254091
G034.2572+00.1535,34.25724,0.15352,283.32667,1.24969,0.12,0.12,328.48,29.25,1762.63,163.28,5.755,0.007,5.6,,,,,,,1.66,-0.038,196.7,P,0,1,0,1,0,0,0,1,0,5.3660192,G034.2572+00.1535,2.1,0.058592103
G034.2573+00.1523,34.25725,0.15235,283.32829,1.24899,0.1,0.1,50.41,4.77,50.41,5.33,1.5,0.041,,1.5,0.058,1.5,0.058,169.923,90.0,1.66,-0.036,24.6,G,0,1,0,1,0,0,0,0,0,1.0,G034.2573+00.1523,2.1,0.015271615
G034.2581+00.1533,34.25811,0.1533,283.32783,1.25019,0.11,0.11,35.87,3.55,35.87,4.22,1.5,0.052,,1.5,0.074,1.5,0.074,160.905,90.0,1.54,-0.139,44.7,G,0,1,0,1,0,0,0,1,0,1.0,G034.2581+00.1533,2.1,0.015271615
G034.4032+00.2277,34.4032,0.22771,283.32777,1.41324,0.12,0.13,6.61,0.73,8.92,1.24,1.743,0.089,,1.866,0.141,1.627,0.111,25.671,19.182,0.42,0.022,15.5,G,0,0,0,0,0,0,0,0,0,1.3494705,G034.4032+00.2277,2.1,0.01774562
G034.5920+00.2434,34.59203,0.24337,283.39997,1.58843,0.17,0.13,6.13,0.66,20.23,2.4,2.725,0.13,2.3,3.391,0.249,2.19,0.133,73.414,5.164,0.36,0.0,19.2,G,0,0,0,0,0,0,0,0,0,3.300163,G034.5920+00.2434,16.4,0.21666303
G035.0242+00.3502,35.02419,0.3502,283.50203,2.02175,0.11,0.11,10.7,1.02,11.44,1.23,1.551,0.045,,1.604,0.068,1.5,0.06,48.072,20.859,0.36,0.004,28.3,G,0,0,0,0,0,0,0,0,0,1.0691589,G035.0242+00.3502,10.4,0.07820231
G035.0524-00.5177,35.0524,-0.51773,284.28764,1.65079,0.39,0.37,13.5,1.22,67.75,7.56,3.672,0.019,3.4,,,,,,,0.36,-0.032,36.6,P,0,1,0,0,0,0,1,1,0,5.0185184,G035.0524-00.5177,10.56,0.18799274
G035.4669+00.1394,35.46693,0.13942,283.89232,2.31964,0.13,0.13,33.35,2.97,317.6,29.36,5.118,0.006,4.9,,,,,,,0.38,-0.02,86.9,P,0,0,0,0,0,0,0,0,0,9.523239,G035.4669+00.1394,8.8,0.21835212
G035.5781-00.0305,35.57813,-0.03048,284.09403,2.34106,0.22,0.22,75.96,6.77,187.75,18.44,2.532,0.008,2.0,,,,,,,0.57,-0.042,131.9,P,0,0,0,1,0,0,0,0,0,2.4716957,G035.5781-00.0305,10.4,0.1276649
G036.4057+00.0226,36.40568,0.02256,284.4249,3.10152,0.11,0.1,14.53,1.36,22.34,2.21,1.86,0.046,1.1,1.942,0.07,1.781,0.061,103.204,13.194,0.38,0.0,37.6,G,0,1,0,0,1,0,0,1,0,1.5375086,G036.4057+00.0226,3.8,0.0342666
G036.4062+00.0221,36.40623,0.02206,284.4256,3.10178,0.11,0.11,7.94,0.81,9.31,1.15,1.624,0.065,,1.759,0.105,1.5,0.079,120.362,12.329,0.37,0.005,20.7,G,0,1,0,0,1,0,0,1,0,1.1725441,G036.4062+00.0221,3.8,0.029918792
G037.5457-00.1120,37.54572,-0.11199,285.06647,4.0536,0.13,0.13,34.46,3.07,406.46,41.28,8.179,0.012,8.0,,,,,,,0.35,-0.042,97.7,P,0,0,0,0,0,0,0,0,0,11.795125,G037.5457-00.1120,10.0,0.39652875
G037.7347-00.1128,37.73473,-0.11277,285.15412,4.22183,0.11,0.11,11.69,1.1,16.02,1.63,1.756,0.047,,1.903,0.075,1.62,0.058,51.182,7.472,0.35,-0.024,33.4,G,0,0,0,0,0,0,0,0,0,1.3704021,G037.7347-00.1128,10.3,0.0876872
G037.8197+00.4140,37.81975,0.41404,284.723,4.53819,0.93,0.92,3.34,0.36,25.99,4.33,4.263,0.049,4.0,,,,,,,0.35,-0.011,8.6,P,0,1,0,0,0,0,0,1,0,7.7814374,G037.8197+00.4140,12.2,0.25214455
G037.8209+00.4125,37.82092,0.41249,284.72517,4.53853,0.81,0.89,10.74,0.99,20.24,2.72,2.217,0.028,1.6,,,,,,,0.35,-0.014,29.8,P,0,1,0,0,0,0,0,1,0,1.8845438,G037.8209+00.4125,12.2,0.13112937
G037.8683-00.6008,37.86832,-0.60079,285.65069,4.11702,0.17,0.17,38.53,3.43,210.28,21.72,5.18,0.011,5.0,,,,,,,0.34,-0.014,113.9,P,0,0,0,0,0,0,1,0,0,5.457566,G037.8683-00.6008,10.0,0.25113326
G037.8731-00.3996,37.87308,-0.39961,285.47328,4.21437,0.1,0.1,255.65,22.75,2561.21,234.04,8.918,0.003,8.8,,,,,,,0.49,-0.005,524.0,P,0,0,0,1,1,0,1,0,0,10.018424,G037.8731-00.3996,9.4,0.40641508
G038.5493+00.1646,38.54934,0.16462,285.28156,5.0729,0.39,0.37,3.56,0.35,88.3,11.26,8.284,0.036,8.1,,,,,,,0.42,-0.024,7.6,P,0,0,0,0,0,0,0,0,0,24.803371,G038.5493+00.1646,2.07,0.083135195
G038.6465-00.2260,38.64647,-0.22602,285.67379,4.98063,0.21,0.2,4.12,0.58,11.52,1.98,2.507,0.213,2.0,2.585,0.316,2.432,0.288,70.0,77.073,0.38,-0.002,11.5,G,0,0,0,0,1,0,0,0,0,2.7961166,G038.6465-00.2260,4.7,0.05712505
G038.6529+00.0875,38.65286,0.08749,285.39693,5.12985,0.12,0.12,6.94,0.73,7.84,1.04,1.595,0.072,,1.632,0.106,1.559,0.097,39.13,52.234,0.39,0.0,17.4,G,0,0,0,0,0,0,0,0,0,1.129683,G038.6529+00.0875,17.1,0.13223039
G038.6934-00.4524,38.69335,-0.45241,285.89734,4.91856,0.13,0.17,6.2,0.68,19.88,2.44,2.687,0.136,2.2,3.18,0.244,2.27,0.15,169.577,7.415,0.36,-0.021,18.1,G,0,0,0,0,0,0,0,0,0,3.2064517,G038.6934-00.4524,9.9,0.12896661
G038.8756+00.3080,38.87564,0.308,285.30225,5.42878,0.14,0.13,77.93,6.94,311.31,29.87,3.573,0.006,3.2,,,,,,,0.34,-0.003,231.3,P,0,0,0,0,0,0,0,0,0,3.9947388,G038.8756+00.3080,15.9,0.2754258
G039.1956+00.2255,39.19557,0.22546,285.52325,5.67548,0.3,0.3,43.81,3.91,62.27,6.41,1.949,0.009,1.2,,,,,,,0.33,0.001,132.4,P,0,0,0,0,0,0,0,0,0,1.4213649,G039.1956+00.2255,15.9,0.15023926
G039.8824-00.3460,39.88236,-0.34602,286.35058,6.02406,0.14,0.14,48.46,4.32,276.87,26.38,3.806,0.006,3.5,,,,,,,0.35,0.003,136.3,P,0,0,0,0,0,0,0,0,0,5.7133718,G039.8824-00.3460,9.1,0.16791312
G040.4251+00.7002,40.42512,0.70017,285.66505,6.98573,1.99,1.96,4.8,0.51,11.1,2.42,2.948,0.075,2.5,,,,,,,0.39,-0.014,11.2,P,0,0,0,0,0,0,0,0,0,2.3125,G040.4251+00.7002,12.1,0.17293677
G041.7419+00.0973,41.7419,0.09733,286.81489,7.87876,0.17,0.16,41.62,3.71,227.4,23.95,5.614,0.012,5.4,,,,,,,0.33,-0.019,123.5,P,0,0,0,0,0,0,1,0,0,5.4637194,G041.7419+00.0973,11.8,0.3211655
G042.1090-00.4469,42.10901,-0.44691,287.47315,7.95412,0.11,0.11,9.88,0.94,14.8,1.53,1.836,0.052,1.1,1.922,0.08,1.754,0.069,7.668,14.968,0.31,-0.005,31.6,G,0,0,0,0,0,0,1,0,0,1.4979757,G042.1090-00.4469,8.8,0.0783303
G042.4345-00.2605,42.43453,-0.26049,287.4579,8.32889,0.32,0.31,21.95,1.97,83.65,9.25,3.633,0.016,3.3,,,,,,,0.35,0.011,61.3,P,0,1,0,0,0,0,0,1,0,3.8109338,G042.4345-00.2605,5.1,0.08982764
G043.1460+00.0139,43.14596,0.01389,287.54428,9.08714,0.19,0.18,76.36,6.83,694.6,69.66,6.222,0.013,6.0,,,,,,,1.57,0.042,47.8,P,0,1,0,1,1,0,1,1,0,9.096385,G043.1460+00.0139,11.1,0.3348324
G043.1489+00.0130,43.14894,0.01305,287.54601,9.08894,0.12,0.12,36.47,3.97,44.13,6.07,1.65,0.08,,1.761,0.127,1.546,0.1,147.686,19.084,1.69,-0.014,20.6,G,0,1,0,1,1,0,1,1,0,1.2100357,G043.1489+00.0130,11.1,0.088793546
G043.1520+00.0115,43.152,0.01149,287.54891,9.09087,0.35,0.34,111.08,9.95,306.63,34.78,2.606,0.014,2.1,,,,,,,1.55,-0.023,70.7,P,0,1,0,1,1,0,1,0,0,2.760443,G043.1520+00.0115,11.1,0.14023998
G043.1651-00.0283,43.1651,-0.02828,287.59169,9.08423,0.11,0.11,242.92,21.62,2714.29,262.82,9.606,0.008,9.5,,,,,,,1.43,0.031,169.0,P,0,0,0,1,1,0,1,0,0,11.173596,G043.1651-00.0283,11.1,0.5169399
G043.1652+00.0129,43.16517,0.0129,287.55373,9.10321,0.59,0.47,98.11,8.82,160.07,17.72,2.074,0.015,1.4,,,,,,,1.59,0.051,60.9,P,0,1,0,1,1,0,1,0,0,1.6315361,G043.1652+00.0129,11.1,0.111610785
G043.1657+00.0116,43.16574,0.01164,287.55513,9.10318,0.11,0.11,65.21,6.3,98.25,10.44,1.841,0.057,1.1,1.944,0.087,1.744,0.073,10.033,13.79,2.08,0.02,34.8,G,0,1,0,1,1,0,1,1,0,1.5066708,G043.1657+00.0116,11.1,0.09907207
G043.1665+00.0106,43.16648,0.01057,287.55646,9.10348,0.13,0.13,218.73,19.49,1365.68,125.16,3.684,0.004,3.4,,,,,,,1.58,-0.028,137.6,P,0,1,0,1,1,0,1,1,0,6.24368,G043.1665+00.0106,11.1,0.19825177
G043.1674+00.0128,43.16737,0.01282,287.55485,9.10516,1.03,0.91,61.62,5.62,74.54,9.28,1.732,0.022,,,,,,,,1.63,-0.184,36.9,P,0,1,0,1,1,0,1,1,0,1.2096722,G043.1674+00.0128,11.1,0.093206316
G043.1677+00.0196,43.16771,0.01957,287.549,9.10913,0.91,0.89,20.71,2.09,115.47,17.88,4.158,0.047,3.9,,,,,,,1.63,-0.071,11.7,P,0,0,0,1,1,0,1,0,0,5.5755677,G043.1677+00.0196,11.1,0.22375973
G043.1684+00.0087,43.16841,0.00866,287.55894,9.10417,0.53,0.52,78.74,7.13,185.25,21.98,2.305,0.018,1.8,,,,,,,1.69,-0.035,45.5,P,0,1,0,1,1,0,1,1,0,2.3526797,G043.1684+00.0087,11.1,0.124041885
G043.1684+00.0124,43.16844,0.01244,287.55568,9.10595,0.11,0.11,63.6,6.07,63.6,6.86,1.5,0.043,,1.5,0.061,1.5,0.061,15.438,90.0,2.25,-0.114,26.4,G,0,1,0,1,1,0,1,1,0,1.0,G043.1684+00.0124,11.1,0.08072141
