1.5778450000e+12
150
200
1
5.1500000000e+15	5.1500000000e+15	6.9115745675e-20	2.4715003957e-08	1.0617377338e-02	-6.8807858776e+05	-3.7912349900e+06
1.5450000000e+16	5.1500000000e+15	3.9898282545e-20	1.6202192983e-08	2.4556916561e-02	-1.1249127658e+06	-3.7126564816e+06
2.5750000000e+16	5.1500000000e+15	2.2435344112e-20	1.1656887225e-08	9.7129355472e-02	-1.3642990521e+06	-3.6387882099e+06
3.6050000000e+16	5.1500000000e+15	1.6200634855e-20	1.7709428612e-08	6.6751323275e-01	-1.3805113054e+06	-3.7864206990e+06
4.6350000000e+16	5.1500000000e+15	1.4311716538e-20	1.9492410795e-08	9.9120510375e-01	-1.3354487992e+06	-3.9053833813e+06
5.6650000000e+16	5.1500000000e+15	1.4486357661e-20	1.9522598061e-08	9.9689682763e-01	-1.1072294242e+06	-3.3125621159e+06
6.6950000000e+16	5.1500000000e+15	1.3789227650e-20	1.8501009322e-08	9.9733906645e-01	-7.2509927961e+05	-2.6415922519e+06
7.7250000000e+16	5.1500000000e+15	1.0809792777e-20	1.4545973115e-08	9.9835386198e-01	-4.3811932892e+05	-2.5215352361e+06
8.7550000000e+16	5.1500000000e+15	8.2045309941e-21	1.1060510520e-08	9.9880228155e-01	-1.0342237949e+05	-2.1834608290e+06
9.7850000000e+16	5.1500000000e+15	6.9563348077e-21	9.3864605243e-09	9.9894498655e-01	2.4758879095e+05	-1.6015573194e+06
1.0815000000e+17	5.1500000000e+15	5.5215832429e-21	7.4655146920e-09	9.9915600789e-01	4.3689425809e+05	-1.0590323863e+06
1.1845000000e+17	5.1500000000e+15	4.1220747043e-21	5.5882914795e-09	9.9936850739e-01	3.2656120914e+05	-6.9608541050e+05
1.2875000000e+17	5.1500000000e+15	3.2889434647e-21	4.4539471624e-09	9.9946762721e-01	1.9385995672e+05	-4.6223413534e+05
1.3905000000e+17	5.1500000000e+15	2.9003868601e-21	3.9231906798e-09	9.9943995176e-01	2.1123167759e+05	-2.8682708270e+05
1.4935000000e+17	5.1500000000e+15	2.4849202257e-21	3.3543104019e-09	9.9931002630e-01	3.3919988059e+05	-1.6978617036e+05
1.5965000000e+17	5.1500000000e+15	2.0398346579e-21	1.8540973608e-09	6.6480901866e-01	5.8286767164e+05	-8.1286075725e+04
1.6995000000e+17	5.1500000000e+15	1.8754384390e-21	1.1635476494e-09	3.3449749653e-01	5.6754022832e+05	-1.0761453614e+04
1.8025000000e+17	5.1500000000e+15	2.1191481042e-21	1.1131939897e-09	1.4943549624e-01	2.7364367279e+05	1.4868634000e+04
5.1500000000e+15	1.5450000000e+16	5.6032525175e-20	1.4874707573e-08	1.0577363314e-02	-5.8542369767e+05	-3.8931176857e+06
1.5450000000e+16	1.5450000000e+16	2.2970637779e-20	7.9339088310e-09	3.8431250731e-02	-1.0358762396e+06	-3.9849757659e+06
2.5750000000e+16	1.5450000000e+16	8.3239540563e-21	4.6182166612e-09	1.9986256885e-01	-1.3399031579e+06	-4.2754596625e+06
3.6050000000e+16	1.5450000000e+16	3.4572813882e-21	4.7932954228e-09	9.9937535127e-01	-1.4101481472e+06	-4.9867624577e+06
4.6350000000e+16	1.5450000000e+16	2.0881786932e-21	3.0382236064e-09	9.9978372502e-01	-1.8202812655e+06	-6.3828955389e+06
5.6650000000e+16	1.5450000000e+16	2.0505248640e-21	3.0291011107e-09	9.9981423246e-01	-2.0467464200e+06	-6.6508393021e+06
6.6950000000e+16	1.5450000000e+16	3.9035464265e-21	5.3238952772e-09	9.9962278282e-01	-1.7089113141e+06	-5.0567838392e+06
7.7250000000e+16	1.5450000000e+16	5.7446311647e-21	7.7835243855e-09	9.9942056504e-01	-1.1143937926e+06	-3.9443096166e+06
8.7550000000e+16	1.5450000000e+16	6.7707112738e-21	9.1473924306e-09	9.9926478828e-01	-6.1837787639e+05	-3.1342494450e+06
9.7850000000e+16	1.5450000000e+16	6.7077834613e-21	9.0448796013e-09	9.9921143322e-01	3.1287240943e+04	-2.2508997965e+06
1.0815000000e+17	1.5450000000e+16	6.2313318741e-21	8.4051489432e-09	9.9921744095e-01	5.3683741132e+05	-1.4651961174e+06
1.1845000000e+17	1.5450000000e+16	4.9463219292e-21	6.6831051562e-09	9.9933213520e-01	6.6634823968e+05	-9.1953069097e+05
1.2875000000e+17	1.5450000000e+16	3.8275352806e-21	5.1846503934e-09	9.9943187583e-01	4.9923131022e+05	-5.5113191585e+05
1.3905000000e+17	1.5450000000e+16	3.0401398033e-21	4.1154330236e-09	9.9944529126e-01	3.3434777718e+05	-3.0907562608e+05
1.4935000000e+17	1.5450000000e+16	2.5085578201e-21	3.3892172173e-09	9.9930880077e-01	3.8701544541e+05	-1.7994514400e+05
1.5965000000e+17	1.5450000000e+16	2.0468476513e-21	1.8060241743e-09	6.3567957272e-01	6.0427399270e+05	-9.4827176660e+04
1.6995000000e+17	1.5450000000e+16	1.9995640848e-21	1.1904876818e-09	3.1345100974e-01	6.0587580387e+05	-1.4469235703e+04
1.8025000000e+17	1.5450000000e+16	2.3349541102e-21	1.2341318111e-09	1.4052092011e-01	2.9633772283e+05	4.8660646335e+04
5.1500000000e+15	2.5750000000e+16	5.0740732757e-20	1.0875014288e-08	9.9059358504e-03	-5.6438673473e+05	-3.8198989798e+06
1.5450000000e+16	2.5750000000e+16	2.0956711624e-20	5.9777338459e-09	3.3278136626e-02	-8.5520822320e+05	-3.9429759339e+06
